Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
DEN,1,-25.2%,4,1,-22.2%,1,-23.3%,3,-27.8%,1,-22.0%,1,-17.1%,2,-29.1%,16,4.6%,4,3.3%
ARI,2,-18.1%,7,6,-15.1%,3,-11.3%,2,-29.0%,3,-16.8%,4,-10.0%,3,-27.9%,24,6.1%,16,0.6%
CAR,3,-17.3%,15,4,-17.0%,2,-14.0%,5,-23.6%,2,-20.0%,2,-16.9%,4,-25.9%,30,8.9%,26,-3.0%
SEA,4,-14.8%,2,2,-21.2%,5,-8.6%,4,-24.6%,6,-11.8%,5,-6.0%,8,-20.9%,26,7.2%,18,-0.1%
STL,5,-14.0%,8,8,-10.0%,6,-7.7%,6,-23.6%,8,-8.2%,10,1.0%,5,-22.3%,13,4.3%,1,4.6%
NYJ,6,-13.0%,22,7,-11.3%,9,-0.9%,1,-33.9%,4,-16.7%,6,-5.6%,1,-35.8%,11,4.2%,29,-3.2%
HOU,7,-12.2%,6,3,-18.4%,4,-10.0%,15,-15.6%,5,-14.0%,3,-11.9%,11,-17.3%,32,10.5%,19,-0.7%
KC,8,-10.4%,20,5,-16.8%,7,-4.3%,10,-20.0%,7,-10.1%,7,-4.9%,9,-18.4%,31,10.0%,14,0.6%
GB,9,-5.7%,16,15,-4.4%,8,-1.9%,19,-11.1%,11,-3.5%,9,0.8%,22,-9.7%,20,5.0%,11,1.3%
CIN,10,-5.0%,14,13,-4.8%,10,1.9%,12,-17.3%,9,-4.7%,8,0.5%,18,-14.1%,1,2.1%,17,0.5%
NE,11,-3.4%,12,16,-3.6%,14,7.8%,9,-20.7%,10,-3.6%,11,7.7%,7,-20.9%,17,4.7%,31,-3.4%
PIT,12,-2.6%,30,9,-6.8%,15,8.4%,7,-21.0%,12,-3.1%,12,7.7%,6,-21.4%,18,4.9%,15,0.6%
DET,13,-2.3%,1,11,-5.7%,18,11.4%,8,-20.7%,16,1.3%,20,14.4%,16,-16.4%,14,4.4%,7,1.8%
MIN,14,-1.4%,23,12,-5.1%,11,6.8%,18,-12.7%,13,-2.2%,13,8.2%,15,-16.5%,8,3.7%,10,1.4%
IND,15,-1.4%,11,14,-4.5%,13,7.8%,17,-14.2%,14,-1.3%,14,9.8%,13,-16.8%,3,2.7%,20,-1.2%
OAK,16,-0.8%,26,10,-6.4%,17,9.4%,14,-16.4%,15,-0.4%,16,10.3%,12,-16.8%,2,2.6%,9,1.5%
DAL,17,2.0%,18,17,2.2%,12,6.9%,28,-3.8%,19,5.0%,18,12.2%,28,-3.4%,9,3.7%,6,2.0%
ATL,18,3.1%,31,18,3.4%,19,12.0%,21,-9.1%,17,1.6%,15,10.2%,21,-10.2%,4,2.9%,27,-3.0%
TB,19,3.3%,19,20,5.3%,24,20.5%,13,-16.9%,18,2.7%,23,19.7%,10,-17.3%,15,4.5%,30,-3.4%
PHI,20,4.2%,10,26,11.6%,16,9.1%,29,-2.5%,21,6.3%,17,12.1%,31,-1.6%,28,8.2%,13,1.1%
WAS,21,6.0%,28,21,5.7%,20,16.9%,20,-9.3%,20,6.0%,19,13.7%,25,-4.8%,12,4.3%,24,-2.1%
BAL,22,6.3%,9,19,4.7%,26,22.6%,11,-17.7%,25,8.5%,28,25.3%,17,-16.3%,19,5.0%,5,2.8%
TEN,23,8.4%,32,31,13.6%,23,20.1%,27,-5.7%,22,6.9%,24,20.3%,24,-9.2%,22,5.9%,25,-2.7%
BUF,24,10.3%,3,28,12.5%,21,17.7%,30,-1.2%,24,8.4%,22,16.2%,27,-3.6%,25,6.3%,21,-1.3%
JAX,25,10.6%,21,29,12.7%,31,29.1%,16,-14.4%,23,7.5%,27,25.2%,14,-16.5%,23,6.1%,32,-3.5%
SF,26,10.8%,5,22,7.3%,28,25.9%,25,-5.9%,31,14.9%,31,30.8%,29,-2.7%,27,7.5%,2,3.8%
NYG,27,11.0%,25,30,13.2%,27,24.1%,23,-7.7%,27,10.9%,26,25.1%,23,-9.2%,10,3.8%,23,-1.9%
MIA,28,11.0%,17,25,10.8%,30,28.7%,22,-8.1%,26,9.5%,30,28.5%,19,-11.1%,29,8.8%,22,-1.5%
SD,29,11.2%,24,24,9.6%,22,18.3%,32,2.0%,28,11.1%,21,16.0%,32,4.9%,7,3.5%,8,1.5%
CLE,30,11.5%,13,23,9.1%,29,26.1%,26,-5.9%,30,13.0%,29,27.1%,26,-3.8%,6,3.2%,3,3.6%
CHI,31,11.9%,29,27,11.9%,25,21.1%,31,-0.5%,29,11.9%,25,22.8%,30,-2.6%,21,5.3%,12,1.2%
NO,32,21.7%,27,32,22.6%,32,40.8%,24,-6.8%,32,18.1%,32,37.5%,20,-10.9%,5,3.1%,28,-3.1%
